clave_vuelo,aeropuerto,num_vuelo,iata_compania,aerolinea,destino_iata,destino_ciudad,salida_programada,salida_estimada,estado,estado_desc,terminal,puerta,mostrador,tipo_aeronave,detectado_en
MAD_2775_11/09/2026_20:10:00_PMI,MAD,2775,FR,Ryanair,PMI,PALMA DE MALLORCA,2026-09-11 20:10:00,2026-09-11 23:22:00,BOR,Embarcando,T1,C38,null-null,B38M,2026-09-11 22:31:11.072674
MAD_6608_11/09/2026_21:05:00_RBA,MAD,6608,FR,Ryanair,RBA,RABAT /SALE,2026-09-11 21:05:00,2026-09-11 22:36:00,BOR,Embarcando,T1,B31,null-null,738W,2026-09-11 22:31:11.072674
MAD_3210_11/09/2026_21:30:00_EDI,MAD,3210,U2,easyJet UK,EDI,EDIMBURGO,2026-09-11 21:30:00,2026-09-11 22:43:00,BOR,Embarcando,T1,B30,null-null,A320,2026-09-11 22:31:11.072674
MAD_144_11/09/2026_22:10:00_DXB,MAD,144,EK,Emirates,DXB,DUBAI,2026-09-11 22:10:00,2026-09-11 22:39:00,BOR,Embarcando,T4,S21,null-null,A359,2026-09-11 22:31:11.072674
MAD_8144_11/09/2026_22:10:00_DXB,MAD,8144,,,DXB,DUBAI,2026-09-11 22:10:00,2026-09-11 22:39:00,BOR,Embarcando,T4,S21,null-null,A359,2026-09-11 22:31:11.072674
MAD_6256_11/09/2026_22:10:00_DXB,MAD,6256,AV,Avianca,DXB,DUBAI,2026-09-11 22:10:00,2026-09-11 22:39:00,BOR,Embarcando,T4,S21,null-null,A359,2026-09-11 22:31:11.072674
MAD_0463_11/09/2026_22:20:00_LCG,MAD,0463,IB,Iberia,LCG,A CORUÑA,2026-09-11 22:20:00,2026-09-11 22:30:00,BOR,Embarcando,T4,J48,850-859,A20N,2026-09-11 22:31:11.072674
MAD_5995_11/09/2026_22:30:00_STN,MAD,5995,RK,Ryanair,STN,LONDRES /STANSTED,2026-09-11 22:30:00,2026-09-12 01:14:00,INI,INI,T1,B30,356-360,B38M,2026-09-11 22:31:11.072674
MAD_2050_11/09/2026_22:35:00_MAN,MAD,2050,U2,easyJet UK,MAN,MANCHESTER,2026-09-11 22:35:00,2026-09-11 22:27:00,BOR,Embarcando,T1,A4,null-null,A32A,2026-09-11 22:31:11.072674
MAD_595_11/09/2026_22:40:00_DUB,MAD,595,EI,Aer Lingus,DUB,DUBLIN,2026-09-11 22:40:00,2026-09-11 23:35:00,BOR,Embarcando,T4,S37,null-null,A320,2026-09-11 22:31:11.072674
MAD_2436_11/09/2026_22:45:00_FCO,MAD,2436,FR,Ryanair,FCO,ROMA /FIUMICINO,2026-09-11 22:45:00,2026-09-11 23:44:00,BOR,Embarcando,T1,C48,null-null,738W,2026-09-11 22:31:11.072674
MAD_6314_11/09/2026_22:45:00_MXP,MAD,6314,W4,Wizz Air Malta (WMT),MXP,MILAN /MALPENSA,2026-09-11 22:45:00,2026-09-11 23:30:00,BOR,Embarcando,T1,C40,null-null,A32B,2026-09-11 22:31:11.072674
MAD_152_11/09/2026_22:45:00_DOH,MAD,152,QR,Qatar Airways,DOH,DOHA / HAMAD INTERNATIONAL,2026-09-11 22:45:00,2026-09-11 22:49:00,BOR,Embarcando,T4,S39,null-null,A35K,2026-09-11 22:31:11.072674
MAD_1472_11/09/2026_22:55:00_FAO,MAD,1472,FR,Ryanair,FAO,FARO,2026-09-11 22:55:00,2026-09-11 23:00:00,BOR,Embarcando,T1,C42,null-null,738W,2026-09-11 22:31:11.072674
MAD_6016_11/09/2026_22:55:00_FCO,MAD,6016,W4,Wizz Air Malta (WMT),FCO,ROMA /FIUMICINO,2026-09-11 22:55:00,2026-09-12 00:57:00,INI,INI,T2,C42,559-560,A21N,2026-09-11 22:31:11.072674
MAD_0539_11/09/2026_22:55:00_LIS,MAD,0539,IB,Iberia,LIS,LISBOA,2026-09-11 22:55:00,2026-09-11 23:13:00,BOR,Embarcando,T4,J50,null-null,A321,2026-09-11 22:31:11.072674
MAD_1679_11/09/2026_23:05:00_PMI,MAD,1679,I2,Iberia Express,PMI,PALMA DE MALLORCA,2026-09-11 23:05:00,2026-09-11 23:06:00,BOR,Embarcando,T4,J52,null-null,A21N,2026-09-11 22:31:11.072674
MAD_6969_11/09/2026_23:05:00_PMI,MAD,6969,,,PMI,PALMA DE MALLORCA,2026-09-11 23:05:00,2026-09-11 23:06:00,BOR,Embarcando,T4,J52,null-null,A21N,2026-09-11 22:31:11.072674
MAD_1629_11/09/2026_23:05:00_PMI,MAD,1629,LA,LATAM Airlines,PMI,PALMA DE MALLORCA,2026-09-11 23:05:00,2026-09-11 23:06:00,BOR,Embarcando,T4,J52,null-null,A21N,2026-09-11 22:31:11.072674
MAD_6996_11/09/2026_23:05:00_PMI,MAD,6996,QR,Qatar Airways,PMI,PALMA DE MALLORCA,2026-09-11 23:05:00,2026-09-11 23:06:00,BOR,Embarcando,T4,J52,null-null,A21N,2026-09-11 22:31:11.072674
MAD_5177_11/09/2026_23:05:00_PMI,MAD,5177,VY,Vueling,PMI,PALMA DE MALLORCA,2026-09-11 23:05:00,2026-09-11 23:06:00,BOR,Embarcando,T4,J52,null-null,A21N,2026-09-11 22:31:11.072674
MAD_9407_11/09/2026_23:10:00_VLC,MAD,9407,,,VLC,VALENCIA,2026-09-11 23:10:00,2026-09-11 23:12:00,BOR,Embarcando,T4,K94,null-null,CRJX,2026-09-11 22:31:11.072674
MAD_1749_11/09/2026_23:10:00_VLC,MAD,1749,LA,LATAM Airlines,VLC,VALENCIA,2026-09-11 23:10:00,2026-09-11 23:12:00,BOR,Embarcando,T4,K94,null-null,CRJX,2026-09-11 22:31:11.072674
MAD_5312_11/09/2026_23:10:00_VLC,MAD,5312,VY,Vueling,VLC,VALENCIA,2026-09-11 23:10:00,2026-09-11 23:12:00,BOR,Embarcando,T4,K94,null-null,CRJX,2026-09-11 22:31:11.072674
